game_id,game_date,season,athlete_id,athlete_display_name,team_id,team_abbreviation,team_location,opponent_team_abbreviation,opponent_team_location,opponent_net_rank,location,game_result,point_diff,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,game_score,adj_game_score,individual_ppp,efg_pct_game,ts_pct_game,stocks,is_double_double,is_close_game,rest_days,is_back_to_back,game_score_L5,game_score_L10,game_score_L15,ts_pct_L5,ts_pct_L10,improvement_zscore_L10,game_score_slope_L10,consistency_rating_L10
401817548,2025-11-03T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,VAN,Vanderbilt,7.0,Away,L,-9,35.0,11.0,7.0,1.0,1.0,0.0,3.0,4.0,16.0,1.0,11.0,2.0,3.0,1.4,2.7730027548,0.5413385827,0.28125,0.317551963,1.0,0,0,7.0,0,,,,,,,,0.5
401812775,2025-11-09T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,SAC,Sacramento State,200.0,Home,W,17,27.0,6.0,4.0,3.0,0.0,0.0,2.0,2.0,9.0,0.0,5.0,2.0,2.0,1.4,2.0286501377,0.5050505051,0.2222222222,0.3036437247,0.0,0,0,6.0,0,,,,,,,,0.5
401817549,2025-11-11T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,PAC,Pacific,208.0,Home,W,8,34.0,19.0,6.0,3.0,1.0,0.0,2.0,6.0,15.0,0.0,6.0,7.0,7.0,13.8,19.6925619835,0.9462151394,0.4,0.5254424779,1.0,0,0,2.0,0,5.5333333333,,,0.3822127219,,,,0.5
401830954,2025-11-16T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,HARV,Harvard,59.0,Home,W,11,26.0,17.0,3.0,4.0,1.0,0.0,2.0,4.0,10.0,4.0,8.0,5.0,6.0,13.1,24.0707988981,1.1612021858,0.6,0.6724683544,1.0,0,0,5.0,0,7.425,,,0.45477663,,,,0.5
401817550,2025-11-20T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,SMC,Saint Mary's,183.0,Home,W,8,37.0,18.0,3.0,4.0,2.0,0.0,4.0,5.0,11.0,4.0,8.0,4.0,6.0,13.2,19.7454545455,1.0204081633,0.6363636364,0.6598240469,2.0,0,0,4.0,0,8.58,8.58,,0.4957861134,0.4957861134,-0.1085512022,,0.566715265
401817551,2025-11-24T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,GCU,Grand Canyon,131.0,Home,W,5,39.0,13.0,3.0,5.0,0.0,0.0,4.0,5.0,14.0,1.0,9.0,2.0,2.0,4.4,7.2121212121,0.688559322,0.3928571429,0.436827957,0.0,0,1,4.0,0,9.18,7.8833333333,,0.5196413122,0.485959754,-0.1875613558,,0.563345168
401817552,2025-11-26T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,AUB,Auburn,87.0,Away,L,-8,39.0,18.0,3.0,3.0,0.0,0.0,4.0,6.0,17.0,4.0,13.0,2.0,3.0,7.1,12.4983471074,0.8064516129,0.4705882353,0.4912663755,0.0,0,0,2.0,0,10.32,7.7714285714,7.7714285714,0.5571658424,0.4867178428,-0.2002526655,,0.5818096942
401806395,2025-12-04T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,MIZ,Missouri,83.0,Away,L,-1,40.0,11.0,5.0,3.0,0.0,0.0,1.0,4.0,12.0,3.0,9.0,0.0,0.0,7.2,12.7537190083,0.8461538462,0.4583333333,0.4583333333,0.0,0,1,8.0,0,9.0,7.7,7.7,0.5437440134,0.4831697791,-0.2083535015,,0.5980354135
401817553,2025-12-07T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,SJSU,San José State,200.0,Home,W,50,24.0,20.0,3.0,2.0,1.0,0.0,2.0,6.0,11.0,3.0,8.0,5.0,5.0,15.6,22.6049586777,1.3157894737,0.6818181818,0.7575757576,1.0,0,0,3.0,0,9.5,8.5777777778,8.5777777778,0.5607654941,0.5136593323,-0.1088032282,,0.6088343807
401808057,2025-12-10T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,IDHO,Idaho,101.0,Home,W,7,39.0,13.0,4.0,3.0,1.0,0.0,2.0,5.0,12.0,1.0,5.0,2.0,2.0,8.9,15.3236914601,0.873655914,0.4583333333,0.5046583851,1.0,0,0,3.0,0,8.64,8.61,8.61,0.5297323617,0.5127592376,-0.1051488511,0.6490909091,0.6236016902
401819612,2025-12-14T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,STAN,Stanford,46.0,Away,L,-9,17.0,5.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,4.0,2.0,2.0,-1.5,-2.8099173554,0.6345177665,0.3,0.425170068,0.0,0,0,4.0,0,7.46,8.32,7.6909090909,0.5274007839,0.523521048,-0.1380382452,-0.383030303,0.5934189697
401817554,2025-12-21T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,USC,USC,23.0,Home,L,-4,37.0,11.0,3.0,1.0,2.0,0.0,4.0,3.0,11.0,1.0,5.0,4.0,8.0,1.3,2.517630854,0.5939524838,0.3181818182,0.3787878788,2.0,0,1,7.0,0,6.3,8.31,7.1583333333,0.5049050846,0.5310354635,-0.1391723622,-1.2272727273,0.5925552755
401817555,2025-12-28T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,CP,Cal Poly,341.0,Home,W,41,26.0,19.0,2.0,6.0,2.0,0.0,3.0,7.0,13.0,5.0,11.0,0.0,0.0,16.1,17.0757575758,1.1875,0.7307692308,0.7307692308,2.0,0,0,7.0,0,8.08,8.54,7.8461538462,0.5593922641,0.5515681387,-0.1130876703,-0.4363636364,0.5873961322
401819643,2026-01-01T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,UNC,North Carolina,200.0,Away,L,-16,40.0,5.0,3.0,5.0,1.0,0.0,6.0,2.0,11.0,1.0,6.0,0.0,0.0,-2.9,-4.2022038567,0.2941176471,0.2272727273,0.2272727273,1.0,0,0,4.0,0,4.38,6.94,7.0785714286,0.453331658,0.507048576,-0.2945463964,-0.7563636364,0.5074642167
401819563,2026-01-04T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,NCSU,NC State,26.0,Away,L,-11,40.0,16.0,3.0,4.0,1.0,0.0,2.0,5.0,17.0,3.0,11.0,3.0,4.0,7.6,14.6556473829,0.7707129094,0.3823529412,0.4264392324,1.0,0,0,3.0,0,4.12,6.38,7.1133333333,0.4376878275,0.4837100946,-0.3580569505,-0.303030303,0.4999602891
401819656,2026-01-08T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,DUKE,Duke,8.0,Home,L,-4,38.0,9.0,2.0,1.0,1.0,0.0,3.0,3.0,9.0,2.0,6.0,1.0,1.0,2.8,5.538292011,0.7234726688,0.4444444444,0.4766949153,1.0,0,1,4.0,0,4.98,6.22,7.2066666667,0.4479927969,0.4876967904,-0.3762028231,-0.6303030303,0.4906988728
401819665,2026-01-11T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,WAKE,Wake Forest,135.0,Home,W,9,35.0,12.0,4.0,5.0,2.0,0.0,3.0,4.0,14.0,4.0,13.0,0.0,0.0,5.9,9.605785124,0.7058823529,0.4285714286,0.4285714286,2.0,0,0,3.0,0,5.9,6.1,7.5066666667,0.4579495069,0.4814272957,-0.3898122276,-0.5890909091,0.4861033223
401819666,2026-01-15T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,SYR,Syracuse,41.0,Away,L,-3,53.0,16.0,2.0,12.0,1.0,0.0,7.0,5.0,16.0,4.0,11.0,2.0,2.0,9.0,16.9834710744,0.6700167504,0.4375,0.4739336493,1.0,1,1,4.0,0,4.48,6.28,7.1866666667,0.4065823906,0.4829873273,-0.3693981209,-0.3575757576,0.4910954164
401819672,2026-01-18T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,BC,Boston College,243.0,Away,W,15,38.0,36.0,3.0,9.0,2.0,0.0,2.0,11.0,18.0,8.0,15.0,6.0,6.0,35.0,46.5702479339,1.5901060071,0.8333333333,0.8720930233,2.0,0,0,3.0,0,12.06,8.22,8.6466666667,0.5355464498,0.4944390539,-0.1493794155,1.8303030303,0.4285259508
401819620,2026-01-25T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,STAN,Stanford,46.0,Home,W,7,43.0,24.0,4.0,3.0,0.0,0.0,4.0,8.0,16.0,3.0,9.0,5.0,6.0,14.1,26.4132231405,1.0600706714,0.59375,0.643776824,0.0,0,0,7.0,0,13.36,8.74,8.7066666667,0.5790139681,0.5083508978,-0.0904053296,2.1963636364,0.4400789698
401819688,2026-01-29T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,ND,Notre Dame,20.0,Home,W,11,40.0,19.0,2.0,4.0,0.0,0.0,2.0,4.0,7.0,3.0,5.0,8.0,9.0,15.9,30.9239669421,1.4660493827,0.7857142857,0.8667883212,0.0,0,0,4.0,0,15.98,10.48,9.4733333333,0.6570326493,0.5525127231,0.106931035,1.9042424242,0.4949731962
401819692,2026-02-01T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,LOU,Louisville,11.0,Home,L,-12,39.0,7.0,5.0,2.0,0.0,0.0,3.0,2.0,10.0,1.0,7.0,2.0,2.0,0.3,0.5909090909,0.5043227666,0.25,0.3216911765,0.0,0,0,3.0,0,14.86,10.38,9.02,0.6356565988,0.5468030528,0.0955898646,0.736969697,0.4902593657
401819696,2026-02-05T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,GT,Georgia Tech,72.0,Away,W,7,40.0,8.0,3.0,3.0,0.0,0.0,2.0,3.0,10.0,2.0,7.0,0.0,0.0,2.8,5.0446280992,0.6666666667,0.4,0.4,0.0,0,0,4.0,0,13.62,9.05,8.7266666667,0.620869869,0.5137261298,-0.0552477014,0.7048484848,0.4552613579
401819702,2026-02-08T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,PITT,Pittsburgh,264.0,Away,W,15,36.0,32.0,2.0,7.0,0.0,0.0,2.0,8.0,12.0,7.0,11.0,9.0,10.0,29.1,37.0363636364,1.7391304348,0.9583333333,0.9756097561,0.0,0,0,3.0,0,12.44,12.25,9.6266666667,0.6415732156,0.5885598327,0.3076697507,1.0018181818,0.5135129155
401819711,2026-02-12T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,UVA,Virginia,36.0,Home,W,6,39.0,17.0,4.0,2.0,1.0,0.0,1.0,5.0,18.0,3.0,8.0,4.0,4.0,9.4,17.867768595,0.8188824663,0.3611111111,0.4301619433,1.0,0,0,4.0,0,11.5,12.43,9.66,0.5988502394,0.5889321037,0.3280838574,0.5363636364,0.5185881419
401819717,2026-02-15T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,VT,Virginia Tech,39.0,Home,L,-10,38.0,4.0,4.0,4.0,0.0,0.0,7.0,1.0,8.0,0.0,5.0,2.0,2.0,-4.6,-8.705785124,0.2518891688,0.125,0.2252252252,0.0,0,0,3.0,0,7.4,11.69,9.4533333333,0.4705376202,0.5637851347,0.2441591966,-1.0345454545,0.4846973182
401819719,2026-02-19T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,FSU,Florida State,200.0,Away,W,13,40.0,30.0,9.0,6.0,1.0,0.0,3.0,10.0,20.0,5.0,13.0,5.0,5.0,24.5,35.5013774105,1.1904761905,0.625,0.6756756757,1.0,0,0,4.0,0,12.24,13.55,11.0,0.5413345201,0.5884955595,0.4551049656,-0.7218181818,0.5132573656
401819723,2026-02-22T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,MIA,Miami,200.0,Away,L,-9,40.0,18.0,5.0,3.0,0.0,0.0,3.0,7.0,21.0,4.0,16.0,0.0,0.0,5.9,8.5493112948,0.75,0.4285714286,0.4285714286,0.0,0,0,3.0,0,12.86,13.24,10.32,0.5470488058,0.5839593374,0.4199473374,-1.4424242424,0.5044118809
401819601,2026-02-26T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,CLEM,Clemson,38.0,Home,L,-7,40.0,23.0,4.0,3.0,2.0,0.0,5.0,8.0,17.0,5.0,11.0,2.0,2.0,15.4,29.1878787879,1.0052447552,0.6176470588,0.6431767338,2.0,0,0,4.0,0,10.12,11.28,11.54,0.4805622013,0.5610677084,0.197660398,0.1260606061,0.5149877596
401819739,2026-03-01T00:00:00.000,2026,5178589,Lulu Twidale,25,CAL,California,SMU,SMU,222.0,Home,W,44,31.0,25.0,5.0,3.0,1.0,0.0,3.0,8.0,14.0,7.0,11.0,2.0,2.0,19.6,27.2132231405,1.3982102908,0.8214285714,0.8400537634,1.0,0,0,3.0,0,12.16,11.83,12.34,0.5625405653,0.5806954024,0.2600368351,0.7678787879,0.5199135824
