season,lineup_str,stints,minutes,poss_for,plus_minus,net_rtg
2025,4433744|4595209|4595863|4704594|5178589,48,430.9,781.36,152.0,19.4532609809
2025,4433744|4433765|4595863|4704594|5178589,7,36.8,62.2,-23.0,-36.9774919614
2025,4433744|4595863|4704594|5178589|5239497,3,29.6833333333,52.16,2.0,3.8343558282
2025,4433744|4433765|4595209|4595863|5178589,2,20.1333333333,39.0,13.0,33.3333333333
2025,4433744|4595209|4704594|5178589|5239495,2,19.8666666667,35.28,-5.0,-14.1723356009
2025,4595209|4595863|4704594|5178589|5239497,4,16.9,31.2,-24.0,-76.9230769231
2026,4433745|5124078|5174270|5178589|5311853,16,55.0,92.16,15.0,16.2760416667
2026,4433745|5174270|5178589|5311853|5311856,9,43.1333333333,78.28,26.0,33.2141032192
2026,4433745|5124078|5174270|5178589|5311856,8,30.55,57.76,-2.0,-3.4626038781
2026,4433745|4899413|5124078|5174270|5178589,6,30.2,51.88,10.0,19.2752505783
2026,4433745|5124078|5178589|5311853,5,22.3,24.88,-6.0,-24.115755627
2026,5105749|5124078|5174270|5178589|5239495,10,21.7333333333,40.28,-4.0,-9.9304865938
